SKU,Description
RK1066,"Rishi Designer Round Kundan With Green N Red Beads, Rishi Lumba Marron Stone Lumba, 1 Vedika Maroon Key Chain, Cadbury Celebrations Rich Dry Fruit Chocolate 177gm, Roli Chawal"
RK1230,"Rishi Designer Rudraksh Two Stone, Roli Chawal"
RK1787,"2 Rakhi,1 Red & Golden Potli 6inches,1 Flower Design Roli Chawal,Soan Papdi 250gms,1 Flower Design Roli Chawal"
RK1958,"Rakhi, Jute Potli, Standing ganesha 3x6inches, Cashew 100gms, Mini Charpai 7.5x4x2.5 inches, Roli Chawal"
RK1699,"1 Rishi Designer Black Zali Square, 2 Small Yellow Cushion, 1 Red Designer Box 3.5x8x1inches, 2 Small Bowl with Square Base, 1 Saffron 5gms, 1 Silver Coated Cardamom 10 gms, Roli Chawal"
RK2033,"1 Nityam- Rishi Rakhi, 1 Red Resin Buddha Set of 6, 1 Wooden Stand 12x6x4 Inches, 1 Roli Chawal"
RK1704,"1 Rishi American Diamond Small Red Stone With Pearl, 1 Small Yellow Cushion, 1 Silver Duck Plater 7x3.5 inches, 1 Wallnut 100gms, 1 Pista 100gms, Roli Chawal"
RK2047,"Rakhi, Small Yellow Cushion, 2 Flower Printed Tin Box with lid 3 inches height, Almond 100gms, Cashews nut 100gms, Roli Chawal"
RK1706,"1 Kriti Red Half Stone, 1 Shivam Long Golden N Red Beads Rakhi Shubh, 1 Small Yellow Cushion, 1 Lindt Caramel Chocolate 100gm, 1 Lindt Sea Salt Dark Chocolate 100gms, Roli Chawal"
RK985,Personalized Hanging Heart Shape Photo frame
RK1859,"1 Rakhi,3 Cadbury Dairy Milk Fruit n Nut 38gms,1 Jute Potli,1 Lotus Design Roli Chawal,Soan Papdi 250gms"
RK1917,1 Black Mug Diameter 3x4inches
RK1714,"1 Vedika Orange Kundan 2016, 1 Ferrero Rocher 16 pcs., 1 Marble Roli Chawal Bowl Diameter 3.5inches"
RK1919,1 Black Mug Diameter 3x4inches
RK48,Rakhi thread with a red octagonal stone with roli chawal
RK1718,"2 Designer Rakhi, Motichoor Laddo 500gms, 1 Wooden Brown Tray 8x12inches, 1 Assorted Chocolates Square 250gms, 1 Red Potli 9inches, 2 Flower Deigner Roli Chawal"
RK1719,"1 Rishi Bhaiya Bhabhi Set Green Rakhi Lumba Set, 1 Motichoor Laddo 500gms, 1 Wooden Brown Tray 8x12inches, 1 Assorted Chocolates Square 250gms, 1 Red Potli 9inches, 2 Flower Deigner Roli Chawal, Roli Chawal"
RK72,A royal blue Rakhi with white and red beads and a ring in the centre with Roli and Chawal
RK834,Brother's Frame
RK1725,"2 Designer Rakhi, 1 Printed Pink Potli 11 inches, 1 Almonds 250gms, 1 Cashew 250gms, 1 Ferrero Rocher 24 pcs., 1 Brown Flatter Tray 5.5x13inches, 2 Small Bowl with Square Base"
RK966,"Cushion 12x12,White Mug with Print"
RK1150,"2 White & red mugs, 2 Dairy Milk Silk, Small yellow cushion, Maroon & green beads lumba rakhi set, Roli Chawal"
RK1258,"Kriti Metal Wire Rakhi, Roli Chawal"
RK1309,"Shivam Long Golden N Red Beads Rakhi Shubh, Roli Chawal"
RK1622,"1 Shree King Design Oval, 1 Nutty Gritties Cashews Nuts 100gms, 1 Roli Chawal"
RK1793,"1 Rishi Designer Smal Square With Red Bead, 1 Vedika King Painting White Rakhi, 1 Marble Peacock Chopra 5 Inches, 1 Small Card, 1 Roli Chawal"
RK1852,"1 Rakhi,1 Small Yellow Cushion,1 Table Tennis Rackets Sets,5 Kinder Joy Chocolate 20gms,1 Small Cane Basket,Roli Chawal"
RK1892,"1 Kids Lumba,Roli Chawal"
RK2006,"1 Nityam- Rishi Rakhi, 1 Small Card, 2 Cadbury Fruit & Nut Chocolate 38gm, 1 Golden Resin Buddha Set of 6, 1 Roli Chawal"
RK1759,"2 Rakhi,1 Hand Made Box 5x5x4inches,Almonds 250gms,1 Green Roli Chawal Box 5x2.5 inches,2 Small Yellow Cushion,1 Roli Chawal"
RK552,"Small Yellow Cushion, Greeting Card, Chokola Choco chip Cookies 185gms, Soan Papdi 250gms, Roli Chawal, Red thread white beaded with red stone rakhi"
RK1761,"2 Rakhi,1 Hand Made Box 5x5x4inches,Almonds 250gms,1 Green Roli Chawal Box 5x2.5 inches,2 Small Yellow Cushion,1 Roli Chawal"
