City ID,Category Name,Products
10572,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10573,Best Seller,ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG14|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10573,Flowers,adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10573,Soft Toys,adon10|ADDONFG21
10573,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10573,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10579,Best Seller,ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG14|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10579,Flowers,adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10579,Soft Toys,adon10|ADDONFG21
10579,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10579,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10580,Best Seller,ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG14|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10580,Flowers,adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10580,Soft Toys,adon10|ADDONFG21
10580,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10580,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10582,Best Seller,ADDONFG22|ADDONFG24|ADDONFG1|ADDONFG14|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10582,Flowers,adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10582,Soft Toys,adon10|ADDONFG21
10582,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
